time,age,vehicle,weather,comment
夜(18:00~22:00),any,any,any,スピードは控えめに
夜(18:00~22:00),any,any,any,疲れを感じたら早めに休憩
夜(18:00~22:00),any,any,any,見えにくい前提で運転を
深夜(22:00~4:00),any,any,any,強い眠気は事故の元
深夜(22:00~4:00),any,any,any,無理せず休憩・仮眠を
深夜(22:00~4:00),any,any,any,交通量が少なくても慎重に
深夜(22:00~4:00),any,any,any,動物や急停止に注意
深夜(22:00~4:00),any,any,any,「早く着く」より「無事に着く」
午後(12:00〜16:00),any,any,晴れ,午後の眠気と油断に注意、スピード控えめで
午後(12:00〜16:00),any,any,晴れ,日差しと集中力低下に気をつけよう
午後(12:00〜16:00),any,any,曇り,午後は判断が鈍りがち、確認を丁寧に
午後(12:00〜16:00),any,any,曇り,曇り空でも視界低下に注意
夕方(16:00~18:00),any,any,雨,雨の夕方は事故多発、早めの減速を
夕方(16:00~18:00),any,any,雨,視界が悪い時間帯、慎重運転を
夜(18:00~22:00),any,any,霧,夜の霧は危険度大、無理せず低速で
夜(18:00~22:00),any,any,霧,見えない前提で行動しよう
午後(12:00〜16:00),18～24歳,any,any,午後は集中力低下に注意、基本を忘れず
午後(12:00〜16:00),18～24歳,any,any,慣れ始めの油断が出やすい時間帯
午後(12:00〜16:00),25～34歳,any,any,午後の忙しさで焦らない運転を
午後(12:00〜16:00),25～34歳,any,any,時間より安全を優先しよう
夕方(16:00~18:00),45～54歳,any,any,夕方は見えにくさを意識して運転
夕方(16:00~18:00),45～54歳,any,any,反応に余裕を持った操作を
夜(18:00~22:00),75歳以上,any,any,夜間は無理せず慎重に
夜(18:00~22:00),75歳以上,any,any,見えにくい場面では一時停止を
any,any,乗用車,雨,雨の日は歩行者の飛び出しに注意
any,any,乗用車,雨,いつもより車間距離を多めに
any,any,貨物車,曇り,視界が不安定、巻き込み確認を確実に
any,any,貨物車,曇り,車体の大きさを意識した運転を
any,any,バイク,雨,雨天は特にスリップ注意
any,any,バイク,雨,路面状況を最優先で判断
夕方(16:00~18:00),any,自転車,any,夕方は車から見えにくい、早めのライト
夕方(16:00~18:00),any,自転車,any,交差点では必ず一時確認
午後(12:00〜16:00),any,乗用車,雨,午後の眠気と雨で危険増、慎重に
夕方(16:00~18:00),any,自転車,晴れ,逆光で見えにくい、存在アピールを
夜(18:00~22:00),any,バイク,雨,夜雨は最危険、無理な走行は避けよう
午後(12:00〜16:00),any,貨物車,曇り,午後の油断に注意、確認を丁寧に
